,Firm Name,Address,Total Reviews,Total Rating
0,McDonald's,"27776 McBean Pkwy, Valencia, CA 91354",408,3.5
1,McDonald's,"27103 McBean Pkwy, Santa Clarita, CA 91355",963,3.7
2,McDonald's,"27618 The Old Rd, Valencia, CA 91355","1,115",3.7
3,McDonald's,"23110 Valencia Blvd, Valencia, CA 91355",876,3.8
4,McDonald's,"27701 Lake Hughes Rd, Castaic, CA 91384","2,321",3.7
5,McDonald's,"25323 Chiquella Ln, Stevenson Ranch, CA 91381","1,932",3.8
6,McDonald's,"18850 Soledad Canyon Rd, Santa Clarita, CA 91351","1,029",3.9
7,McDonald's,"26940 Sierra Hwy, Santa Clarita, CA 91321",644,3.8
8,McDonald's,"19401 Golden Valley Rd, Santa Clarita, CA 91321","1,066",3.7
9,McDonald's,"12860 Encinitas Ave, Sylmar, CA 91342","1,771",3.6
10,McDonald's,"11840 Balboa Blvd, Granada Hills, CA 91344",799,3.7
11,McDonald's,"1955 Glenoaks Blvd, San Fernando, CA 91340","1,474",3.6
12,McDonald's,"2605 Yosemite Ave, Simi Valley, CA 93063","1,002",3.9
13,McDonald's,"10350 Reseda Blvd, Northridge, CA 91326",970,3.7
14,McDonald's,"20932 Devonshire St, Chatsworth, CA 91311","1,104",3.6
15,McDonald's,"11015 Sepulveda Blvd, Mission Hills, CA 91345","1,372",3.9
16,McDonald's,"12950 Foothill Blvd, Sylmar, CA 91342","1,238",3.8
17,McDonald's,"801 Truman St., San Fernando, CA 91340","1,327",3.9
18,McDonald's,"9857 Balboa Blvd, Northridge, CA 91325",734,3.7
19,McDonald's,"2375 Tapo St, Simi Valley, CA 93063",354,3.9
